             CooksD  CooksD_flag  StdResid  StdResid_flag  StudResid  StudResid_flag    DFFITS  DFFITS_flag  COVRATIO  COVRATIO_flag  DFBETAS_flag
280.0  1.303431e-05        False -0.177369          False  -0.177138           False -0.016523        False  0.996270          False         False
281.0  1.131223e-03        False -1.169960          False  -1.170543           False -0.154206        False  1.001157          False         False
282.0  1.263425e-03        False -1.152395          False  -1.152906           False -0.162958        False  1.062296          False         False
283.0  2.224506e-04        False -0.504682          False  -0.504175           False -0.068279        False  1.065086          False         False
284.0  2.408046e-05        False -0.231336          False  -0.231041           False -0.022459        False  1.075823          False         False
285.0  1.466731e-04        False -0.358507          False  -0.358085           False -0.055434        False  1.064506          False         False
286.0  4.152995e-04        False -0.584698          False  -0.584178           False -0.093305        False  1.057367          False         False
287.0  6.372921e-04        False -0.700584          False  -0.700103           False -0.115606        False  1.080777          False         False
288.0  6.236858e-05        False  0.231981          False   0.231685           False  0.036144        False  1.060491          False         False
289.0  3.999803e-04        False  0.604361          False   0.603843           False  0.091571        False  1.040779          False         False
290.0  8.153437e-04        False -0.844681          False  -0.844355           False -0.130801        False  1.093953          False         False
291.0  6.394381e-05        False  0.193497          False   0.193246           False  0.036597        False  1.080271          False         False
292.0  1.652732e-04        False  0.352410          False   0.351993           False  0.058843        False  1.105299          False         False
293.0  1.629735e-03        False -0.686411          False  -0.685921           False -0.184866        False  1.135597          False         False
294.0  7.409343e-06        False  0.046120          False   0.046058           False  0.012457        False  1.008399          False          True
295.0  1.677135e-03        False  1.147764          False   1.148256           False  0.187750        False  1.085097          False         False
296.0  9.476970e-06        False -0.087908          False  -0.087791           False -0.014088         True  1.539181           True          True
297.0  1.858436e-02        False  0.868149           True   0.867860            True  0.624509         True  0.733472           True          True
298.0  1.753141e-02        False  2.697595          False   2.720772           False  0.611975        False  1.286623           True          True
299.0  2.391355e-03        False -0.466464           True  -0.465971            True -0.223858         True  0.760600           True          True
300.0  4.146203e-02        False  2.767325          False   2.792565           False  0.941625        False  1.049545          False          True
301.0  1.326576e-03        False  0.878803          False   0.878532           False  0.166856        False  1.000656          False          True
302.0  1.280504e-03        False  1.157020          False   1.157550           False  0.164059        False  1.079607          False          True
303.0  1.704127e-03        False -0.792138          False  -0.791739           False -0.189078        False  1.060326          False          True
